LOCATION,house_price_growth,2000,2020,dwellings_growth,ISO3,Flag,ISO3_Flag
NZL,2.6979162490776196,1486600.0,1919800.0,0.2914032019373065,NZL,🇳🇿,🇳🇿NZL
SWE,1.6498363704752834,4295730.0,5037444.0,0.17266308636715988,SWE,🇸🇪,🇸🇪SWE
GBR,0.8774677227126038,25319000.0,29548000.0,0.16702871361428184,GBR,🇬🇧,🇬🇧GBR
CHE,0.866523628385699,3569181.0,4637174.0,0.2992263491260321,CHE,🇨🇭,🇨🇭CHE
FRA,0.8606424762742673,28988000.0,35986000.0,0.2414102387194701,FRA,🇫🇷,🇫🇷FRA
AUT,0.7937848834071428,3816300.0,4875111.0,0.2774443833031994,AUT,🇦🇹,🇦🇹AUT
KOR,0.4358075706814082,11472400.0,21673500.0,0.8891862208430668,KOR,🇰🇷,🇰🇷KOR
FIN,0.41685075498670554,2512442.0,3124286.0,0.24352562168599312,FIN,🇫🇮,🇫🇮FIN
DEU,0.4098446818843986,38383645.0,42803737.0,0.1151556085931913,DEU,🇩🇪,🇩🇪DEU
NLD,0.32008928830733296,6669000.0,7891786.0,0.18335372619583157,NLD,🇳🇱,🇳🇱NLD
